"id","name","organisation","startdate","enddate","number_of_participants","number_of_waste_bags","kg_of_collected_waste","handout_gloves","handout_wastebags","municipality","county","municipality_name","county_name","meters_cleaned_beach","teiner","oljefat","fulle_soppelbotter","avfallsstasjon","kloakkutslipp","dumpet_avfall","serveringssteder","turisme","biltrafikk","havn","landbruk","fiskeri_havbruk","bygg_anlegg","geom_wkt","personal_use","fisheries","industrial","hygiene","others","created_at","created_by","updated_at","updated_by"
"187","Rydde Snøde Risavika Havnering","Clean Shores Global","24/4/2020 02:00:00","24/4/2020 02:00:00","1","12","120","0","0","1124","11","Sola","Rogaland","283",,"2",,,,,,,,,,,,"POINT(5.6058081620286 58.9258037268214)","897","2051","1751","150","2006","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"188","Rydde Vassvika","","24/4/2020 02:00:00","24/4/2020 02:00:00","2","0","77","1","1","1857","18","Værøy","Nordland","0",,"0",,,,,,,,,,,,"POINT(12.7078141820639 67.6804882408872)","61","212","28","3","312","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"190","Rydde Litle Verholmen","","21/4/2020 02:00:00","21/4/2020 02:00:00","3","2","20","0","0","1836","18","Rødøy","Nordland","0",,"0",,,,,,,,,,,,"POINT(12.9994521345119 66.6784852713651)","23","138","28","0","32","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"192","Rydde Merkesfjæra","","24/1/2020 01:00:00","28/4/2020 02:00:00","7","30","300","1","1","1871","18","Andøy","Nordland","0",,"10",,,"1","1",,"1",,,,"1",,"POINT(16.0633378943666 69.3036489185788)","633","746","139","110","115","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"196","Rydde Sølvøyna","Fjordane Friluftsråd","26/4/2020 02:00:00","26/4/2020 02:00:00","4","0","80","0","0","4645","46","Askvoll","Vestland","56",,"0",,,,,,,,,,,,"POINT(4.71544796269926 61.2890678295649)","51","260","31","0","43","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"197","Rydde Kuneset ved Blindtarmen","Clean Shores Global","27/4/2020 02:00:00","27/4/2020 02:00:00","3","12","140","1","1","1103","11","Stavanger","Rogaland","638",,"50",,,,,,,,,,,,"POINT(5.73902247548612 59.010452042334)","256","19","166","23","85","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"198","Rydde Eikelandshølen","Clean Shores Global","29/4/2020 02:00:00","29/4/2020 02:00:00","4","17","300","1","1","1108","11","Sandnes","Rogaland","855",,"2",,,,,,,,,,,,"POINT(5.73229485201496 58.7996714958941)","437","3","70","69","104","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"200","Rydde Sølvøyna Sør","Fjordane Friluftsråd","26/4/2020 02:00:00","26/4/2020 02:00:00","4","0","10","0","0","4645","46","Askvoll","Vestland","7",,"0",,,,,,,,,,,,"POINT(4.71668618967958 61.2873652994521)","14","93","10","0","20","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"217","Rydde Brakholmen","","27/4/2020 02:00:00","30/4/2020 02:00:00","1","11","150","0","0","4631","46","Alver","Vestland","877",,"2",,,,,,,,,,,,"POINT(4.93199058742009 60.6508615341164)","154","107","39","30","26","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"219"," Rundt Sjøvannsanlegget","","27/4/2020 02:00:00","3/5/2020 02:00:00","1","0","75","0","1","1857","18","Værøy","Nordland","0",,"0",,,,"0",,,,,,"1",,"POINT(12.6893198218811 67.6544447844767)","55","329","30","6","8","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
